No,,Location,Thing,Group,,
1,,inu club room,singing practice, 1-7,,
2,,Inu,assignment, 1-7,,
3,,Si-heung,dog, 1-7,,
4,,Meat buffet,Dinner, 1-7,,
5,,Si-heung,monitor, 1-7,,
6,,Billiard room,Billiard, 1-7,,
7,,oido station,MT on the way, 1-7,,
8,,Hair salon,Hair cut, 1-7,,
9,,sondo  ,churros, 1-7,,
10,,Gapyeong,volleyball, 1-7,,
11,,Gapyeong,alcohol game, 1-7,,
12,,park,bicycle, 1-7,,
13,,Gapyeong,lying, 1-7,,
14,,church,sundayschool teacher, 1-7,,
15,,home,flower  , 1-7,,
16,,church,table, 1-7,,
17,,home,PPT, 1-7,,
18,,home,errand, 1-7,,
19,,home,bus, 1-7,,
20,,INU,road, 1-7,,
21,,inu club room,singing practice, 1-7,,
22,,inu popeyes,Hamburger, 1-7,,
23,,songdo megabox,watching movie, 1-7,,
24,,bongousse,riceburger, 1-7,,
25,,inu,movie, 1-7,,
26,,inu,lecture, 1-7,,
27,,BBQ,chicken, 1-7,,
28,,home,computer, 1-7,,
29,,Billiard room,Billiard, 1-7,,
30,,home,bed, 1-7,,
31,,Gang-hwa,car, 1-7,,
32,,home,monitor, 1-7,,
33,,church,monitor, 1-7,,
34,,home,walking, 1-7,,
35,,pc room,overwatch game, 1-7,,
1,,kimbab heaven,tteokbokki,1-8,,
2,,home,computer,1-8,,
3,,home,chicken,1-8,,
4,,tomato dosirak,lunch box,1-8,,
5,,bar,soju and beer,1-8,,
6,,home,stand light,1-8,,
7,,bus,bus,1-8,,
8,,subway,bus card,1-8,,
9,,pc room,computer,1-8,,
10,,inu,table,1-8,,
11,,class room,book & beam projector,1-8,,
12,,near home,bacchus,1-8,,
13,,home,TV,1-8,,
14,,subway,display board,1-8,,
15,,bar,soju and beer,1-8,,
16,,home,Electric Heat plate,1-8,,
17,,restaurent,Check-stand machine,1-8,,
18,,restaurent,vibrating bell,1-8,,
19,,restaurent,toast,1-8,,
20,,restaurent,pizzs,1-8,,
21,,home,computer,1-8,,
22,,home,laptop,1-8,,
23,,shopping mall,cloth,1-8,,
24,,home,computer,1-8,,
25,,home,Hand size Cleaner,1-8,,
26,,restaurent,beer container,1-8,,
27,,street,crosswalk,1-8,,
28,,hong-dae,street,1-8,,
29,,home,computer,1-8,,
30,,home,computer,1-8,,
31,,home,air controller,1-8,,
32,,home,laptop,1-8,,
33,,home,pdf file and note,1-8,,
34,,home,clock,1-8,,
35,,street,Block,1-8,,
36,,street,computer,1-8,,
37,,street,handrail & cigarette,1-8,,
38,,pc room,overwatch game,1-8,,
39,,subway station,bus stop,1-8,,
40,,street,car window,1-8,,
41,,class room,computer,1-8,,
42,,restaurent,potato chips,1-8,,
43,,class room,beam projector,1-8,,
44,,café,laptop,1-8,,
45,,home,computer,1-8,,
46,,dental hospital,waiting seats,1-8,,
47,,Guwol-dong,soju,1-8,,
48,,girl's rest room,door and table,1-8,,
49,,cafe,table,1-8,,
50,,home,puppy's pocket home,1-8,,
51,,hospital,waiting display,1-8,,
52,,bus terminal,car's back window,1-8,,
53,,karaoke  ,karaoke machine,1-8,,
54,,street,cloth,1-8,,
55,,home,toast,1-8,,
56,,street,walking,1-8,,
57,,temple,Buddhism light,1-8,,
58,,street,cobbled road,1-8,,
59,,home,"All-in-one (printer,fax,etc)",1-8,,
60,,pc room,computer,1-8,,
61,,home,electric kettle,1-8,,
62,,home,book  ,1-8,,
1,,cafe,sharp pencil,2-1,,
2,,cafe,camera,2-1,,
3,,cafe,smartphone battery,2-1,,
4,,cafe,portable vinyl pack,2-1,,
5,,bus,card reader,2-1,,
6,,home,tissue holder,2-1,,
7,,class room,micro phone,2-1,,
8,,cafe,pansement,2-1,,
9,,pc room,mouse,2-1,,
10,,home,clock,2-1,,
11,,laboratory,DC power supply,2-1,,
12,,home,umbrella,2-1,,
13,,cafe,cup,2-1,,
14,,cafe,earphones,2-1,,
15,,cafe,chair,2-1,,
16,,cafe,drug bottle,2-1,,
17,,home,swamp cooler,2-1,,
18,,restaurent,gas burner,2-1,,
19,,home,shampoo,2-1,,
20,,home,shampoo,2-1,,
21,,home,multi power point,2-1,,
22,,home,door locker,2-1,,
23,,cafe,cube toy,2-1,,
24,,home,push-up bar,2-1,,
25,,cafe,ballpen,2-1,,
26,,restaurent,coffee dispencer,2-1,,
27,,home,remote controller,2-1,,
28,,home,monitor,2-1,,
29,,home,parsely bottle,2-1,,
30,,home,lotion,2-1,,
31,,home,vacuuum,2-1,,
32,,home,mouse,2-1,,
33,,cafe,flower pot,2-1,,
34,,cafe,memo pad,2-1,,
35,,road,shoes,2-1,,
36,,cafe,trach can,2-1,,
37,,fashion market,shoes,2-1,,
38,,subway station,vending machine,2-1,,
39,,convenience store,card reader,2-1,,
40,,subway station,strap,2-1,,
41,,home,knife,2-1,,
42,,home ,refrigerator,2-1,,
1 ,,school,mirror,2-2,,
2 ,,market,starwberry,2-2,,
3 ,,home,closet,2-2,,
4 ,,home,light,2-2,,
5 ,,restaurent,pork,2-2,,
6 ,,bar,drinking,2-2,,
7 ,,work place,paper cup,2-2,,
8 ,,cafe,dessert,2-2,,
9 ,,street,light,2-2,,
10 ,,road,car,2-2,,
11 ,,work place,part-time job,2-2,,
12 ,,home,keyboard,2-2,,
13 ,,library,homework,2-2,,
14 ,,Incheon terminal,game,2-2,,
15 ,,subway station,display board,2-2,,
16 ,,university,mirror,2-2,,
17 ,,bus stop,bus  ,2-2,,
18 ,,bus ,window,2-2,,
19 ,,street,sign,2-2,,
20 ,,park,tree,2-2,,
21 ,,park,food,2-2,,
22 ,,street,building,2-2,,
23 ,,university,tree,2-2,,
24 ,,home,cat,2-2,,
25 ,,university,blanket,2-2,,
26 ,,street,flower pot,2-2,,
27 ,,Homeplus,cloth,2-2,,
28 ,,bus,chair,2-2,,
29 ,,Guro,car,2-2,,3-1파일은 시간이 안적혀있고 날짜만있어서
30 ,,park,light,2-2,,날짜만 일단 작성했습니다.
31 ,,convenience store,snack,2-2,,
32 ,,time square,3D scanner,2-2,,
33 ,,home,computer,2-2,,
34 ,,class room,computer,2-2,,
35 ,,subway,subway system,2-2,,
36 ,,home,computer,2-2,,
37 ,,university,tree,2-2,,
38 ,,rooftop,building,2-2,,
39 ,,Bupyeong,screen door,2-2,,
40 ,,Seoul,tree,2-2,,
41 ,,street,tree,2-2,,
42 ,,park,tree,2-2,,
1 ,,subway,hand cream,2-4,,
2 ,,sang-dong,shopping bag,2-4,,
3 ,,cafe,wallet,2-4,,
4 ,,home,cloth,2-4,,
5 ,,university,oscilloscope,2-4,,
6 ,,theater,hotdog,2-4,,
7 ,,street,snack,2-4,,
8 ,,home,pillow,2-4,,
9 ,,toilet,urinal,2-4,,
10 ,,home,laptop,2-4,,
11 ,,home,TV controller,2-4,,
12 ,,river,chicken,2-4,,
13 ,,restaurent,spoon,2-4,,
14 ,,car,navigation apparatus,2-4,,
15 ,,subway,bag,2-4,,
16 ,,university,wallet,2-4,,
17 ,,baseball stadium,ticket,2-4,,
